               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  66,           0.0051521,            0.010298,          7.8432e-05,             0.99707,             0.99818,             0.99268,             0.98977,           0.0037645,            0.005183,           0.0001032,            0.003565,            0.003565,            0.003565
                  67,           0.0050992,            0.010157,          7.7451e-05,             0.99707,             0.99818,             0.99269,             0.98973,           0.0037499,           0.0051744,            0.000102,            0.003466,            0.003466,            0.003466
                  68,           0.0051194,            0.010114,          7.5853e-05,             0.99707,             0.99818,             0.99254,             0.98972,            0.003745,           0.0051658,           0.0001021,            0.003367,            0.003367,            0.003367
                  69,           0.0049963,            0.010007,          7.3463e-05,             0.99707,             0.99818,             0.99253,             0.98958,           0.0037347,           0.0051628,          0.00010236,            0.003268,            0.003268,            0.003268
                  70,           0.0049638,            0.010058,          7.0913e-05,             0.99707,             0.99818,             0.99243,             0.98948,           0.0037331,           0.0051591,          0.00010143,            0.003169,            0.003169,            0.003169
                  71,           0.0049197,                0.01,          6.8881e-05,             0.99707,             0.99818,             0.99248,              0.9895,           0.0037255,           0.0051459,          9.9417e-05,             0.00307,             0.00307,             0.00307
                  72,           0.0048938,           0.0099471,          6.7148e-05,             0.99707,             0.99818,             0.99255,             0.98953,           0.0037229,           0.0051475,          9.7283e-05,            0.002971,            0.002971,            0.002971
                  73,           0.0048591,           0.0099434,          6.4575e-05,             0.99707,             0.99818,              0.9925,             0.98955,           0.0037196,           0.0051501,          9.6238e-05,            0.002872,            0.002872,            0.002872
                  74,           0.0047376,           0.0098429,           6.231e-05,             0.99707,             0.99818,             0.99258,             0.98971,           0.0037161,           0.0051381,           9.456e-05,            0.002773,            0.002773,            0.002773
                  75,           0.0047678,           0.0098153,          6.1875e-05,             0.99707,             0.99818,             0.99266,             0.98979,           0.0037085,           0.0051258,          9.3675e-05,            0.002674,            0.002674,            0.002674
                  76,           0.0046558,           0.0097281,          5.8533e-05,             0.99707,             0.99818,             0.99266,              0.9898,           0.0037003,           0.0051127,          9.2466e-05,            0.002575,            0.002575,            0.002575
                  77,           0.0046228,           0.0096163,          5.6355e-05,             0.99707,             0.99818,             0.99256,             0.98978,           0.0037013,           0.0051054,          9.1505e-05,            0.002476,            0.002476,            0.002476
                  78,           0.0045799,           0.0096605,          5.4637e-05,             0.99707,             0.99818,             0.99245,             0.98955,           0.0036974,           0.0051076,          9.0112e-05,            0.002377,            0.002377,            0.002377
                  79,           0.0045662,           0.0094394,          5.3643e-05,             0.99707,             0.99818,             0.99253,             0.98964,           0.0036946,           0.0051035,          8.8315e-05,            0.002278,            0.002278,            0.002278
                  80,            0.004461,           0.0093461,          5.0349e-05,             0.99707,             0.99818,             0.99252,             0.98965,           0.0036891,           0.0050919,          8.6251e-05,            0.002179,            0.002179,            0.002179
                  81,           0.0044582,            0.009504,          4.9947e-05,             0.99707,             0.99818,             0.99247,             0.98953,           0.0036906,           0.0050928,          8.4749e-05,             0.00208,             0.00208,             0.00208
                  82,           0.0044369,           0.0092527,          4.6311e-05,             0.99707,             0.99818,              0.9925,             0.98958,           0.0036836,           0.0050867,          8.3057e-05,            0.001981,            0.001981,            0.001981
                  83,           0.0043408,           0.0092691,          4.4607e-05,             0.99707,             0.99818,             0.99247,             0.98952,             0.00368,           0.0050828,          8.1369e-05,            0.001882,            0.001882,            0.001882
                  84,           0.0043615,           0.0092469,          4.2867e-05,             0.99707,             0.99818,             0.99244,             0.98953,           0.0036711,           0.0050777,          7.9488e-05,            0.001783,            0.001783,            0.001783
                  85,           0.0043315,            0.009073,          3.9701e-05,             0.99707,             0.99818,             0.99235,             0.98958,           0.0036672,           0.0050733,          7.7696e-05,            0.001684,            0.001684,            0.001684
                  86,           0.0042816,           0.0091037,          3.8098e-05,             0.99707,             0.99818,             0.99241,             0.98956,           0.0036621,           0.0050743,          7.6235e-05,            0.001585,            0.001585,            0.001585
                  87,           0.0042074,           0.0090164,          3.6155e-05,             0.99707,             0.99818,             0.99243,             0.98962,           0.0036578,           0.0050738,          7.4744e-05,            0.001486,            0.001486,            0.001486
