               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.010162,            0.013719,           0.0040809,             0.99469,             0.99684,             0.99281,             0.98647,           0.0040201,           0.0059593,           0.0013099,             0.00505,             0.00505,             0.00505
                  52,            0.010047,            0.013495,           0.0039395,             0.99455,             0.99647,             0.99273,              0.9868,           0.0039816,           0.0058884,           0.0013531,            0.004951,            0.004951,            0.004951
                  53,             0.01006,            0.013427,           0.0038938,             0.99497,             0.99378,             0.99284,             0.98687,           0.0039778,           0.0058721,           0.0016167,            0.004852,            0.004852,            0.004852
                  54,             0.01009,            0.013392,            0.003962,             0.99505,             0.99368,             0.99236,             0.98673,            0.003947,           0.0058928,           0.0015267,            0.004753,            0.004753,            0.004753
                  55,           0.0099787,             0.01337,           0.0039842,             0.99473,             0.99395,             0.99292,             0.98713,           0.0039294,           0.0058891,           0.0014721,            0.004654,            0.004654,            0.004654
                  56,           0.0098298,            0.013373,           0.0039341,             0.99419,             0.99364,             0.99246,             0.98659,           0.0038904,           0.0058649,           0.0015319,            0.004555,            0.004555,            0.004555
                  57,           0.0096084,            0.013116,           0.0037155,             0.99447,             0.99466,             0.99257,             0.98709,           0.0038733,            0.005823,            0.001399,            0.004456,            0.004456,            0.004456
                  58,            0.009562,            0.013015,           0.0037363,             0.99474,             0.99459,             0.99279,              0.9873,           0.0038513,           0.0058054,           0.0013278,            0.004357,            0.004357,            0.004357
                  59,           0.0095411,            0.012995,           0.0036154,              0.9946,             0.99562,             0.99293,             0.98777,           0.0038452,           0.0058025,           0.0012381,            0.004258,            0.004258,            0.004258
                  60,           0.0094517,            0.013021,           0.0036862,             0.99434,             0.99616,             0.99286,               0.988,           0.0038304,           0.0057934,           0.0012041,            0.004159,            0.004159,            0.004159
                  61,           0.0093332,            0.012883,           0.0036376,             0.99474,             0.99656,              0.9929,             0.98767,             0.00382,           0.0057781,           0.0011738,             0.00406,             0.00406,             0.00406
                  62,           0.0091515,            0.012815,           0.0035885,              0.9947,             0.99632,             0.99301,             0.98744,           0.0038094,           0.0057607,           0.0011941,            0.003961,            0.003961,            0.003961
                  63,           0.0090346,            0.012716,            0.003511,              0.9946,             0.99563,              0.9931,             0.98752,           0.0037974,           0.0057373,            0.001249,            0.003862,            0.003862,            0.003862
                  64,           0.0089298,            0.012633,           0.0034651,              0.9947,             0.99542,             0.99301,             0.98694,           0.0037829,           0.0057035,           0.0012665,            0.003763,            0.003763,            0.003763
                  65,           0.0087945,            0.012412,           0.0034922,             0.99461,             0.99536,             0.99301,             0.98686,           0.0037718,           0.0056823,            0.001316,            0.003664,            0.003664,            0.003664
                  66,             0.00884,            0.012525,           0.0033762,             0.99449,             0.99527,             0.99302,             0.98712,            0.003759,           0.0056672,           0.0013098,            0.003565,            0.003565,            0.003565
                  67,           0.0085944,            0.012304,           0.0032273,             0.99452,             0.99527,               0.993,             0.98754,           0.0037431,           0.0056568,           0.0012924,            0.003466,            0.003466,            0.003466
                  68,           0.0085414,            0.012302,           0.0032004,             0.99472,             0.99541,             0.99302,             0.98787,           0.0037322,           0.0056618,           0.0012531,            0.003367,            0.003367,            0.003367
                  69,           0.0084383,            0.012224,           0.0031409,              0.9949,             0.99538,             0.99298,              0.9878,           0.0037298,           0.0056605,           0.0012199,            0.003268,            0.003268,            0.003268
                  70,           0.0083486,            0.012157,           0.0031275,             0.99474,             0.99565,             0.99301,             0.98809,           0.0037296,           0.0056564,           0.0011859,            0.003169,            0.003169,            0.003169
                  71,           0.0082363,            0.012133,           0.0030538,             0.99465,             0.99556,             0.99298,             0.98844,           0.0037197,           0.0056468,           0.0011642,             0.00307,             0.00307,             0.00307
                  72,           0.0080726,            0.011949,           0.0029867,             0.99467,             0.99566,               0.993,             0.98858,           0.0037096,           0.0056389,           0.0011696,            0.002971,            0.002971,            0.002971
                  73,           0.0079945,            0.011961,           0.0030151,             0.99455,             0.99584,             0.99291,             0.98806,           0.0037071,           0.0056289,           0.0011332,            0.002872,            0.002872,            0.002872
                  74,           0.0078163,            0.011878,           0.0028417,             0.99456,             0.99562,             0.99283,             0.98825,           0.0037056,           0.0056196,            0.001108,            0.002773,            0.002773,            0.002773
                  75,           0.0077071,            0.011756,           0.0028908,             0.99465,             0.99598,             0.99278,             0.98812,           0.0037013,           0.0055975,            0.001085,            0.002674,            0.002674,            0.002674
                  76,           0.0075283,            0.011742,            0.002799,             0.99457,             0.99587,             0.99278,             0.98807,           0.0036904,           0.0055728,           0.0010749,            0.002575,            0.002575,            0.002575
                  77,           0.0074528,            0.011496,             0.00267,             0.99447,             0.99589,             0.99278,             0.98802,           0.0036827,           0.0055521,            0.001071,            0.002476,            0.002476,            0.002476
                  78,            0.007377,            0.011506,           0.0026683,             0.99438,             0.99577,             0.99277,             0.98832,           0.0036757,           0.0055358,           0.0010723,            0.002377,            0.002377,            0.002377
                  79,            0.007244,            0.011307,           0.0025799,             0.99438,              0.9957,             0.99274,              0.9883,           0.0036663,           0.0055172,           0.0010639,            0.002278,            0.002278,            0.002278
                  80,            0.007072,            0.011203,           0.0024662,             0.99437,             0.99563,             0.99271,               0.988,           0.0036617,           0.0054979,           0.0010542,            0.002179,            0.002179,            0.002179
                  81,           0.0069577,            0.011214,           0.0024172,             0.99444,             0.99547,              0.9927,             0.98792,           0.0036566,           0.0054875,           0.0010504,             0.00208,             0.00208,             0.00208
                  82,           0.0068656,            0.010986,           0.0024253,             0.99447,             0.99543,             0.99271,             0.98788,           0.0036511,           0.0054781,           0.0010353,            0.001981,            0.001981,            0.001981
                  83,           0.0066524,            0.010989,           0.0023671,              0.9946,             0.99543,             0.99274,             0.98813,           0.0036444,           0.0054667,            0.001019,            0.001882,            0.001882,            0.001882
                  84,           0.0065714,            0.010871,           0.0022829,              0.9946,              0.9954,             0.99271,             0.98825,           0.0036379,           0.0054557,           0.0010103,            0.001783,            0.001783,            0.001783
                  85,            0.006448,            0.010686,           0.0022517,             0.99463,             0.99538,             0.99273,             0.98816,           0.0036328,           0.0054427,            0.001003,            0.001684,            0.001684,            0.001684
                  86,           0.0063045,            0.010644,           0.0021883,              0.9946,             0.99546,             0.99273,             0.98813,           0.0036287,           0.0054321,          0.00099607,            0.001585,            0.001585,            0.001585
                  87,           0.0061524,            0.010601,           0.0022017,             0.99458,             0.99547,             0.99271,              0.9881,           0.0036266,           0.0054235,          0.00099289,            0.001486,            0.001486,            0.001486
                  88,           0.0059756,            0.010276,           0.0020506,             0.99458,             0.99549,             0.99271,             0.98816,           0.0036235,           0.0054163,          0.00098936,            0.001387,            0.001387,            0.001387
                  89,           0.0058594,            0.010331,            0.002065,             0.99453,             0.99548,             0.99269,             0.98814,           0.0036229,           0.0054099,          0.00098766,            0.001288,            0.001288,            0.001288
                  90,           0.0058176,            0.010355,           0.0019143,             0.99451,             0.99534,             0.99272,             0.98831,           0.0036218,           0.0054024,          0.00098597,            0.001189,            0.001189,            0.001189
                  91,           0.0056252,            0.010185,           0.0019659,             0.99452,             0.99532,              0.9927,             0.98836,           0.0036194,           0.0053963,          0.00098424,             0.00109,             0.00109,             0.00109
                  92,           0.0054677,           0.0099937,           0.0018682,             0.99453,             0.99529,             0.99266,             0.98846,           0.0036172,           0.0053876,           0.0009842,            0.000991,            0.000991,            0.000991
                  93,           0.0053657,           0.0099805,           0.0018675,             0.99457,             0.99528,             0.99268,             0.98842,            0.003615,            0.005382,          0.00098268,            0.000892,            0.000892,            0.000892
                  94,           0.0052394,           0.0098305,           0.0017245,             0.99458,             0.99527,             0.99266,             0.98847,           0.0036125,           0.0053762,          0.00097863,            0.000793,            0.000793,            0.000793
                  95,           0.0050473,           0.0096211,           0.0017283,             0.99457,             0.99525,             0.99265,             0.98866,           0.0036109,           0.0053699,          0.00097667,            0.000694,            0.000694,            0.000694
                  96,           0.0049373,           0.0097062,           0.0015962,             0.99459,             0.99526,             0.99265,             0.98868,           0.0036087,           0.0053638,          0.00097473,            0.000595,            0.000595,            0.000595
                  97,           0.0047927,            0.009366,           0.0015775,             0.99458,             0.99526,             0.99263,             0.98853,            0.003606,           0.0053565,          0.00097289,            0.000496,            0.000496,            0.000496
                  98,            0.004648,            0.009351,           0.0016081,              0.9946,             0.99527,             0.99263,             0.98881,           0.0036037,           0.0053503,          0.00097029,            0.000397,            0.000397,            0.000397
                  99,           0.0045025,           0.0092317,           0.0014829,             0.99459,             0.99528,             0.99262,             0.98874,           0.0036021,           0.0053433,          0.00096674,            0.000298,            0.000298,            0.000298
